Element,FIP
1049,1.92E-05
1050,2.68E-05
1051,4.38E-06
1052,3.77E-05
1053,4.94E-05
1054,3.30E-05
1055,-5.01E-05
1056,-3.49E-05
1057,3.44E-06
1058,4.22E-08
1059,8.76E-06
1060,5.48E-05
1061,8.32E-05
1062,6.79E-05
1063,7.30E-05
1064,6.36E-05
1065,2.05E-05
1066,2.01E-05
1067,3.01E-05
1068,7.02E-05
1069,8.13E-05
1070,4.46E-05
1071,4.84E-05
1072,3.72E-05
1073,2.69E-05
1074,2.16E-05
1075,4.73E-05
1076,5.25E-05
1077,3.45E-05
1078,2.68E-05
1079,2.75E-05
1080,2.15E-05
1081,6.55E-06
1082,4.37E-05
1083,-5.24E-05
1084,-4.46E-05
1085,-4.05E-05
1086,2.55E-05
1087,7.98E-06
1088,1.94E-06
1089,1.32E-05
1090,4.89E-05
1091,7.83E-05
1092,7.87E-05
1093,7.27E-05
1094,7.22E-05
1095,3.89E-05
1096,3.25E-05
1097,3.00E-05
1098,6.29E-05
1099,7.98E-05
1100,3.27E-05
1101,2.08E-05
1102,4.27E-05
1103,4.37E-05
1104,2.20E-05
1105,3.63E-05
1106,4.93E-05
1107,3.80E-05
1108,3.03E-05
1109,3.53E-05
1110,2.12E-05
1111,2.89E-05
1112,-3.61E-05
1113,4.95E-05
1114,5.32E-05
1115,3.62E-05
1116,1.71E-05
1117,-1.09E-05
1118,1.48E-05
1119,2.13E-05
1120,3.61E-05
1121,5.12E-05
1122,7.73E-05
1123,8.16E-05
1124,5.75E-05
1125,5.37E-05
1126,5.47E-05
1127,3.73E-05
1128,5.92E-05
1129,5.15E-05
1130,3.07E-05
1131,1.68E-05
1132,2.01E-05
1133,5.58E-05
1134,3.24E-05
1135,3.07E-05
1136,4.42E-05
1137,4.12E-05
1138,3.81E-05
1139,2.07E-05
1140,2.38E-05
1141,2.90E-05
1142,-4.10E-05
1143,4.52E-05
1144,4.63E-05
1145,2.43E-05
1146,-1.99E-05
1147,2.67E-05
1148,3.03E-05
1149,2.78E-05
1150,3.16E-05
1151,4.58E-05
1152,5.81E-05
1153,9.46E-05
1154,6.50E-05
1155,5.52E-05
1156,6.46E-05
1157,5.42E-05
1158,5.34E-05
1159,2.65E-05
1160,2.34E-05
1161,2.76E-05
1162,3.10E-05
1163,4.88E-05
1164,4.17E-05
1165,3.75E-05
1166,3.46E-05
1167,4.37E-05
1168,4.87E-05
1169,3.30E-05
1170,2.36E-05
1171,2.29E-05
1172,1.96E-05
1173,6.08E-05
1174,5.39E-05
1175,2.03E-05
1176,3.49E-05
1177,4.30E-05
1178,3.67E-05
1179,2.37E-05
1180,2.88E-05
1181,4.02E-05
1182,5.87E-05
1183,-6.88E-05
1184,-6.16E-05
1185,5.14E-05
1186,4.55E-05
1187,5.38E-05
1188,4.64E-05
1189,2.21E-05
1190,2.62E-05
1191,4.02E-05
1192,3.54E-05
1193,4.14E-05
1194,4.17E-05
1195,4.19E-05
1196,3.36E-05
1197,3.97E-05
1198,5.64E-05
1199,4.71E-05
1200,2.63E-05
1201,2.00E-05
1202,1.87E-05
1203,5.36E-05
1204,4.75E-05
1205,4.21E-05
1206,5.62E-05
1207,4.51E-05
1208,3.76E-05
1209,2.32E-05
1210,2.47E-05
1211,4.15E-05
1212,5.71E-05
1213,-5.91E-05
1214,-5.15E-05
1215,-4.66E-05
1216,-4.17E-05
1217,4.26E-05
1218,3.34E-05
1219,2.53E-05
1220,3.84E-05
1221,5.53E-05
1222,3.82E-05
1223,3.47E-05
1224,4.34E-05
1225,3.81E-05
1226,4.16E-05
1227,4.38E-05
1228,4.58E-05
1229,3.25E-05
1230,2.38E-05
1231,3.12E-05
1232,3.50E-05
1233,4.03E-05
1234,4.89E-05
1235,5.40E-05
1236,5.17E-05
1237,6.22E-05
1238,3.32E-05
1239,3.47E-05
1240,2.49E-05
1241,4.12E-05
1242,-5.95E-05
1243,-5.16E-05
1244,-4.05E-05
1245,-4.72E-05
1246,-5.36E-05
1247,4.60E-05
1248,2.88E-05
1249,3.54E-05
1250,4.66E-05
1251,4.56E-05
1252,2.95E-05
1253,2.78E-05
1254,4.91E-05
1255,4.15E-05
1256,4.15E-05
1257,4.78E-05
1258,5.11E-05
1259,3.20E-05
1260,2.02E-05
1261,3.53E-05
1262,3.34E-05
1263,3.46E-05
1264,3.19E-05
1265,4.20E-05
1266,4.10E-05
1267,5.84E-05
1268,4.03E-05
1269,2.80E-05
1270,5.41E-06
1271,2.96E-05
1272,-5.27E-05
1273,-5.10E-05
1274,-4.54E-05
1275,-4.53E-05
1276,-5.84E-05
1277,4.66E-05
1278,2.53E-05
1279,4.69E-05
1280,4.32E-05
1281,2.56E-05
1282,2.47E-05
1283,2.25E-05
1284,5.01E-05
1285,4.35E-05
1286,3.59E-05
1287,3.50E-05
1288,5.93E-05
1289,4.25E-05
1290,2.56E-05
1291,3.10E-05
1292,3.57E-05
1293,3.44E-05
1294,3.45E-05
1295,3.88E-05
1296,4.98E-05
1297,5.68E-05
1298,-7.11E-05
1299,3.45E-05
1300,1.15E-06
1301,2.74E-05
1302,3.84E-05
1303,-3.62E-05
1304,-5.48E-05
1305,-4.90E-05
1306,-5.16E-05
1307,5.45E-05
1308,4.50E-05
1309,6.36E-05
1310,4.04E-05
1311,2.97E-05
1312,2.49E-05
1313,2.73E-05
1314,4.39E-05
1315,3.57E-05
1316,3.60E-05
1317,3.42E-05
1318,4.28E-05
1319,4.68E-05
1320,3.08E-05
1321,2.20E-05
1322,3.70E-05
1323,3.89E-05
1324,2.97E-05
1325,3.74E-05
1326,5.33E-05
1327,7.37E-05
1328,7.41E-05
1329,3.05E-05
1330,8.99E-06
1331,3.19E-05
1332,2.61E-05
1333,3.60E-05
1334,4.69E-05
1335,4.19E-05
1336,-4.78E-05
1337,3.70E-05
1338,4.12E-05
1339,4.19E-05
1340,2.98E-05
1341,3.40E-05
1342,-2.65E-05
1343,-2.48E-05
1344,-3.50E-05
1345,3.92E-05
1346,4.08E-05
1347,3.52E-05
1348,4.38E-05
1349,3.47E-05
1350,2.79E-05
1351,2.83E-05
1352,3.44E-05
1353,3.04E-05
1354,2.69E-05
1355,3.71E-05
1356,5.29E-05
1357,-5.91E-05
1358,6.16E-05
1359,3.54E-05
1360,1.07E-05
1361,3.55E-05
1362,3.28E-05
1363,3.30E-05
1364,3.72E-05
1365,3.60E-05
1366,4.22E-05
1367,3.17E-05
1368,3.21E-05
1369,3.74E-05
1370,3.78E-05
1371,3.89E-05
1372,-2.14E-05
1373,-1.95E-05
1374,-3.13E-05
1375,4.47E-05
1376,4.95E-05
1377,4.83E-05
1378,5.91E-05
1379,2.96E-05
1380,3.55E-05
1381,3.78E-05
1382,1.54E-05
1383,2.76E-05
1384,3.20E-05
1385,3.97E-05
1386,-4.22E-05
1387,-4.51E-05
1388,6.29E-05
1389,4.96E-05
1390,2.82E-05
1391,3.61E-05
1392,3.94E-05
1393,3.83E-05
1394,2.78E-05
1395,3.53E-05
1396,3.59E-05
1397,1.94E-05
1398,2.08E-05
1399,3.67E-05
1400,5.10E-05
1401,5.16E-05
1402,1.81E-05
1403,4.37E-05
1404,3.50E-05
1405,3.57E-05
1406,7.09E-05
1407,6.95E-05
1408,6.25E-05
1409,2.65E-05
1410,4.04E-05
1411,1.58E-05
1412,1.92E-05
1413,3.43E-05
1414,3.88E-05
1415,-3.43E-05
1416,-2.43E-05
1417,-3.50E-05
1418,-5.25E-05
1419,6.57E-05
1420,3.96E-05
1421,4.15E-05
1422,4.82E-05
1423,3.18E-05
1424,-1.12E-05
1425,-2.25E-05
1426,2.25E-05
1427,1.38E-05
1428,2.23E-05
1429,4.59E-05
1430,8.07E-05
1431,7.04E-05
1432,4.07E-05
1433,4.83E-05
1434,3.63E-05
1435,6.28E-05
1436,8.15E-05
1437,5.90E-05
1438,2.98E-05
1439,2.96E-05
1440,3.02E-05
1441,2.68E-05
1442,2.13E-05
1443,3.00E-05
1444,4.17E-05
1445,-2.68E-05
1446,-2.24E-05
1447,-3.23E-05
1448,-5.72E-05
1449,7.02E-05
1450,4.16E-05
1451,5.01E-05
1452,4.22E-05
1453,1.05E-05
1454,-1.18E-05
1455,1.70E-05
1456,2.17E-05
1457,1.01E-05
1458,1.68E-05
