94
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes2,Volumes_2
88,0.2222795,0.20826906,-0.35119918,0.90514207,-0.036433902,0.23674798,3.1624417,2.1753807,0.10218822,90.228096,20.055857,18.791721,102.79264,92.37793,39.381271,48.526428,5.2352071,2.6578188,1.3533686,277,22,0.019161683,1,1,1,64584,59832,64584
89,0.64525241,0.50003105,0.31317809,-0.033852402,-0.89143491,0.32575652,0.50976068,0.9199816,5.7218733,20.399477,13.162811,10.200372,44.739132,59.869564,139.04347,26.478249,4.2543602,0.64091831,4.4697104,45,6,0.48718762,1,1,1,9936,9720,9936
90,0.7343545,0.66241515,0.33869117,0.66516691,-0.39790264,0.53339934,2.3884611,2.4620197,5.058322,20.203053,14.836203,13.382809,118.30434,95.95652,69.95652,29.931112,4.8278575,1.0583485,4.7164416,65,8,0.54908025,1,0,0,14904,14040,14904
91,0.89373392,0.59740037,0.87706786,0.0056221895,-0.47787863,0.048500434,5.0356317,0.45211411,5.4004827,17.888504,15.987563,10.6866,15.12,46.200001,8.2799997,26.080019,4.6176543,2.1395228,4.6048341,43,9,0.42726403,1,1,1,10800,9288,10800
92,0.72126025,0.59433651,-0.27359962,0.47517815,-0.52071792,0.65437132,1.0725394,1.7436486,3.8679149,18.862997,13.60513,11.210968,9.5,115.375,75.625,26.864845,5.9069576,1.1606997,1.7205195,47,6,0.4712474,1,1,1,10368,10152,10368
93,0.22094069,0.17103215,0.62264436,-0.43467894,-0.036818616,0.64962494,3.1201758,1.9097348,6.2441826,80.040169,17.68413,13.689441,37.167664,78.41317,91.526947,39.815197,2.5887475,1.7246664,3.8076704,153,18,0.017338879,1,1,1,36072,33048,36072
94,0.87734717,0.54239255,-0.21913128,-0.53413141,0.29281652,0.76219654,3.603544,1.6842155,4.5987616,20.66551,18.130827,11.208818,80.577461,140.74648,131.28169,30.532904,0.81468916,1.2309202,4.7349167,69,9,0.50349993,1,1,1,15336,14904,15336
Feature_ID,NumNeighbors,NeighborList
1,14,7,12,19,21,44,59,62,64,65,66,70,81,87,94
2,23,3,4,5,11,13,22,24,30,40,47,49,58,61,62,64,65,68,77,79,80,82,84,86
